celsius;fahrenheit
1;33.8
2;35.6
3;37.4
4;39.2
5;41
6;42.8
7;44.6
8;46.4
9;48.2
10;50
11;51.8
12;53.6
13;55.4
14;57.2
15;59
16;60.8
17;62.6
18;64.4
19;66.2
20;68
21;69.8
22;71.6
23;73.4
24;75.2
25;77
26;78.8
27;80.6
28;82.4
29;84.2
30;86
31;87.8
32;89.6
33;91.4
34;93.2
35;95
36;96.8
37;98.6
38;100.4
39;102.2
40;104
41;105.8
42;107.6
43;109.4
44;111.2
45;113
46;114.8
47;116.6
48;118.4
49;120.2
50;122
51;123.8
52;125.6
53;127.4
54;129.2
55;131
56;132.8
57;134.6
58;136.4
59;138.2
60;140
61;141.8
62;143.6
63;145.4
64;147.2
65;149
66;150.8
67;152.6
68;154.4
69;156.2
70;158
71;159.8
72;161.6
73;163.4
74;165.2
75;167
76;168.8
77;170.6
78;172.4
79;174.2
80;176
81;177.8
82;179.6
83;181.4
84;183.2
85;185
86;186.8
87;188.6
88;190.4
89;192.2
90;194
91;195.8
92;197.6
93;199.4
94;201.2
95;203
96;204.8
97;206.6
98;208.4
99;210.2
100;212
101;213.8
102;215.6
103;217.4
104;219.2
105;221
106;222.8
107;224.6
108;226.4
109;228.2
110;230
111;231.8
112;233.6
113;235.4
114;237.2
115;239
116;240.8
117;242.6
118;244.4
119;246.2
120;248
121;249.8
122;251.6
123;253.4
124;255.2
125;257
126;258.8
127;260.6
128;262.4
129;264.2
130;266
131;267.8
132;269.6
133;271.4
134;273.2
135;275
136;276.8
137;278.6
138;280.4
139;282.2
140;284
141;285.8
142;287.6
143;289.4
144;291.2
145;293
146;294.8
147;296.6
148;298.4
149;300.2
150;302
151;303.8
152;305.6
153;307.4
154;309.2
155;311
156;312.8
157;314.6
158;316.4
159;318.2
160;320
161;321.8
162;323.6
163;325.4
164;327.2
165;329
166;330.8
167;332.6
168;334.4
169;336.2
170;338
171;339.8
172;341.6
173;343.4
174;345.2
175;347
176;348.8
177;350.6
178;352.4
179;354.2
180;356
181;357.8
182;359.6
183;361.4
184;363.2
185;365
186;366.8
187;368.6
188;370.4
189;372.2
190;374
191;375.8
192;377.6
193;379.4
194;381.2
195;383
196;384.8
197;386.6
198;388.4
199;390.2
200;392
201;393.8
202;395.6
203;397.4
204;399.2
205;401
206;402.8
207;404.6
208;406.4
209;408.2
210;410
211;411.8
212;413.6
213;415.4
214;417.2
215;419
216;420.8
217;422.6
218;424.4
219;426.2
220;428
221;429.8
222;431.6
223;433.4
224;435.2
225;437
226;438.8
227;440.6
228;442.4
229;444.2
230;446
231;447.8
232;449.6
233;451.4
234;453.2
235;455
236;456.8
237;458.6
238;460.4
239;462.2
240;464
241;465.8
242;467.6
243;469.4
244;471.2
245;473
246;474.8
247;476.6
248;478.4
249;480.2
250;482
251;483.8
252;485.6
253;487.4
254;489.2
255;491
256;492.8
257;494.6
258;496.4
259;498.2
260;500
261;501.8
262;503.6
263;505.4
264;507.2
265;509
266;510.8
267;512.6
268;514.4
269;516.2
270;518
271;519.8
272;521.6
273;523.4
274;525.2
275;527
276;528.8
277;530.6
278;532.4
279;534.2
280;536
281;537.8
282;539.6
283;541.4
284;543.2
285;545
286;546.8
287;548.6
288;550.4
289;552.2
290;554
291;555.8
292;557.6
293;559.4
294;561.2
295;563
296;564.8
297;566.6
298;568.4
299;570.2
300;572
301;573.8
302;575.6
303;577.4
304;579.2
305;581
306;582.8
307;584.6
308;586.4
309;588.2
310;590
311;591.8
312;593.6
313;595.4
314;597.2
315;599
316;600.8
317;602.6
318;604.4
319;606.2
320;608
321;609.8
322;611.6
323;613.4
324;615.2
325;617
326;618.8
327;620.6
328;622.4
329;624.2
330;626
331;627.8
332;629.6
333;631.4
334;633.2
